ExperimentID,ImageName,ImageID,FeatureID,Feature_TypeID,Feature_left,Feature_top,Feature_right,Feature_bottom
19, 000000572789.jpg, 2, 1, 0, 287, 65, 410, 187
19, 000000572789.jpg, 2, 2, 2, 246, 266, 416, 416
19, 000000503005.jpg, 3, 1, 2, 71, 262, 118, 302
19, 000000044795.jpg, 4, 1, 0, 33, 208, 53, 228
19, 000000044795.jpg, 4, 2, 2, 0, 291, 136, 407
19, 000000044795.jpg, 4, 3, 2, 25, 132, 92, 207
19, 000000044795.jpg, 4, 4, 2, 125, 218, 283, 390
19, 000000044795.jpg, 4, 5, 2, 287, 7, 318, 29
19, 000000044795.jpg, 4, 6, 2, 385, 148, 415, 180
19, 000000044795.jpg, 4, 7, 2, 320, 9, 360, 30
19, 000000044795.jpg, 4, 8, 2, 7, 1, 39, 27
19, 000000025907.jpg, 5, 1, 2, 129, 136, 319, 268
19, 000000108360.jpg, 6, 1, 0, 73, 140, 132, 199
19, 000000108360.jpg, 6, 2, 1, 133, 297, 167, 316
19, 000000108360.jpg, 6, 3, 1, 204, 135, 222, 164
19, 000000026534.jpg, 7, 1, 1, 255, 198, 267, 231
19, 000000026534.jpg, 7, 2, 2, 177, 317, 276, 416
19, 000000200033.jpg, 8, 1, 2, 100, 261, 146, 349
19, 000000200033.jpg, 8, 2, 2, 223, 224, 243, 255
19, 000000200033.jpg, 8, 3, 2, 205, 231, 224, 263
19, 000000200033.jpg, 8, 4, 2, 21, 269, 62, 348
19, 000000200033.jpg, 8, 5, 2, 187, 228, 202, 262
19, 000000200033.jpg, 8, 6, 2, 302, 281, 338, 331
19, 000000200033.jpg, 8, 7, 2, 261, 249, 289, 317
19, 000000200033.jpg, 8, 8, 2, 57, 277, 112, 323
19, 000000200033.jpg, 8, 9, 2, 0, 236, 27, 308
19, 000000113333.jpg, 9, 1, 2, 205, 266, 215, 283
19, 000000113333.jpg, 9, 2, 2, 180, 265, 189, 281
19, 000000113333.jpg, 9, 3, 2, 191, 267, 200, 282
19, 000000143458.jpg, 10, 1, 0, 220, 112, 291, 183
19, 000000143458.jpg, 10, 2, 0, 79, 178, 99, 198
19, 000000143458.jpg, 10, 3, 1, 259, 113, 339, 163
19, 000000143458.jpg, 10, 4, 2, 29, 232, 63, 297
19, 000000143458.jpg, 10, 5, 2, 84, 286, 144, 413
19, 000000143458.jpg, 10, 6, 2, 128, 289, 182, 415
19, 000000143458.jpg, 10, 7, 2, 172, 243, 408, 411
19, 000000143458.jpg, 10, 8, 2, 210, 180, 235, 207
19, 000000143458.jpg, 10, 9, 2, 61, 268, 101, 370
19, 000000143458.jpg, 10, 10, 2, 197, 196, 211, 215
19, 000000237922.jpg, 11, 1, 0, 51, 147, 100, 196
19, 000000237922.jpg, 11, 2, 0, 187, 134, 246, 193
19, 000000237922.jpg, 11, 3, 1, 110, 188, 135, 222
19, 000000237922.jpg, 11, 4, 1, 186, 288, 225, 318
19, 000000237922.jpg, 11, 5, 2, 2, 237, 310, 409
19, 000000490791.jpg, 12, 1, 0, 51, 37, 100, 86
19, 000000490791.jpg, 12, 2, 1, 342, 386, 363, 415
19, 000000490791.jpg, 12, 3, 1, 228, 210, 255, 220
19, 000000490791.jpg, 12, 4, 2, 143, 98, 186, 162
19, 000000490791.jpg, 12, 5, 2, 39, 232, 213, 416
19, 000000490791.jpg, 12, 6, 2, 0, 164, 33, 220
